LCA_CASE_NUMBER;STATUS;LCA_CASE_SUBMIT;DECISION_DATE;VISA_CLASS;LCA_CASE_EMPLOYMENT_START_DATE;LCA_CASE_EMPLOYMENT_END_DATE;LCA_CASE_EMPLOYER_NAME;LCA_CASE_EMPLOYER_ADDRESS;LCA_CASE_EMPLOYER_CITY;LCA_CASE_EMPLOYER_STATE;LCA_CASE_EMPLOYER_POSTAL_CODE;LCA_CASE_SOC_CODE;LCA_CASE_SOC_NAME;LCA_CASE_JOB_TITLE;LCA_CASE_WAGE_RATE_FROM;LCA_CASE_WAGE_RATE_TO;LCA_CASE_WAGE_RATE_UNIT;FULL_TIME_POS;TOTAL_WORKERS;LCA_CASE_WORKLOC1_CITY;LCA_CASE_WORKLOC1_STATE;PW_1;PW_UNIT_1;PW_SOURCE_1;OTHER_WAGE_SOURCE_1;YR_SOURCE_PUB_1;LCA_CASE_WORKLOC2_CITY;LCA_CASE_WORKLOC2_STATE;PW_2;PW_UNIT_2;PW_SOURCE_2;OTHER_WAGE_SOURCE_2;YR_SOURCE_PUB_2;LCA_CASE_NAICS_CODE
I-200-09274-698457;CERTIFIED;7/5/2011;7/11/2011;H-1B;7/11/2011;7/10/2014;AUTODESK, INC.;111 MCINNIS PARKWAY;SAN RAFAEL;CA;94903-;15-1121;Computer Systems Analysts;DATA INTEGRATION LEAD;106891;155200;Year;Y;1;SAN RAFAEL;CA;106891;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;541511
I-200-09275-012369;CERTIFIED;3/31/2011;4/6/2011;H-1B;4/4/2011;4/4/2014;MOORE CAPITAL MANAGEMENT, LP;1251 AVENUE OF THE AMERICAS;NEW YORK;NY;10020;13-2051.00;Financial Analysts;PORTFOLIO STRATEGIST;175000;;Year;Y;1;NEW YORK;NY;111966;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;561790
I-200-09275-151838;CERTIFIED;6/22/2011;6/28/2011;H-1B;12/1/2011;11/30/2014;NYSE MARKET, INC.;11 WALL STREET;NEW YORK;NY;10005;15-1051.00;Computer Systems Analysts;MANAGER;105000;;Year;Y;1;BROOKLYN;NY;103834;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;523110
I-200-09275-953571;CERTIFIED;7/22/2011;7/28/2011;H-1B;7/25/2011;7/24/2014;ADAEQUARE, INC.;14100 PARKE LONG COURT;CHANTILLY;VA;20151;15-1132;Software Developers, Applications;SOFTWARE ENGINEER;72000;;Year;Y;1;CINCINNATI;OH;66810;Year;OES;OFLC ONLINE DATA CENTER;2011;EDISON;NJ;63294;Year;OES;OFLC ONLINE DATA CENTER;2009;541511
I-200-09275-786977;WITHDRAWN;2/10/2011;2/11/2011;H-1B;2/11/2011;2/10/2014;QUANTUM APPLIED SCIENCE AND RESEARCH, INC.;5764 PACIFIC CENTER BLVD.;SAN DIEGO;CA;92121;17-2031.00;Biomedical Engineers;STAFF SCIENTIST;32.7;;Hour;Y;1;SAN DIEGO;CA;28.45;Hour;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541700
I-200-09276-794112;DENIED;3/6/2011;3/7/2011;H-1B;6/30/2011;6/30/2014;SANCHEZ AND BLACK CONSTRUCTION, LLC;549 MIFFLIN ROAD;JACKSON;TN;38301;17-2141.00;Mechanical Engineers;MECHANICAL ENGINEER;46000;;Year;Y;1;JACKSON;TN;45635;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;236210
I-200-09278-201508;CERTIFIED;1/25/2011;1/31/2011;H-1B;7/1/2011;6/30/2014;THE SCHOOL BOARD OF THE CITY OF PETERSBURG;255 SOUTH BOULEVARD EAST;PETERSBURG;VA;23805;25-3099.00;Teachers and Instructors, All Other;ENGLISH AS A SECOND LANGUAGE TEACHER;23790;;Year;Y;1;PETERSBURG;VA;23790;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;611110
I-200-09278-803074;CERTIFIED;11/19/2010;11/26/2010;H-1B;12/1/2010;12/1/2013;TYLER INDEPENDENT SCHOOL DISTRICT;1319 NEW SUNNYBROOK DR.;TYLER;TX;75701;25-2021.00;Elementary School Teachers, Except Special Educati;ELEMENTARY SCHOOL TEACHER;40000;61908;Year;Y;35;TYLER;TX;35530;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;611110
I-200-09328-652276;CERTIFIED;8/3/2011;8/9/2011;H-1B;1/1/2012;12/31/2014;NYSE ARCA, LLC;11 WALL STREET;NEW YORK;NY;10005;15-1121;Computer Systems Analysts;ANALYST;70900;;Year;Y;1;NEW YORK;NY;70900;Year;Other;TOWERS WATSON DATA SERVICES SURVEY REPORT ON INFORMATION TECHNOLOGY & E-COMMERCE PERSONNEL;2010;;;;;;;;523210
I-200-09329-838883;DENIED;11/9/2010;11/17/2010;H-1B;3/2/2011;3/4/2013;NATIONAL BUREAU OF ECONOMIC RESEARCH;1050 MASSACHUSETTS AVENUE;CAMBRIDGE;MA;02138;15-1051.00;Computer Systems Analysts;PROGRAMMER/ANALYST;69326.25;;Year;Y;1;CAMBRIDGE;MA;60528;Year;Other;OFLC ONLINE DATA CENTER;2010;;;;;;;;541720
I-200-09329-807125;CERTIFIED;4/4/2011;4/8/2011;H-1B;9/22/2011;9/22/2014;ALEC H JARET, DMD;25 NEEDHAM ST.;NEWTON;MA;02461;29-1021.00;Dentists, General;DENTIST;75.6;83.79;Hour;Y;1;WINSTEAD;CT;75.6;Hour;OES;OFLC ONLINE DATA CENTER;2010;TORRINGTON;CT;75.6;Hour;OES;OFLC ONLINE DATA CENTER;2010;621210
I-200-09334-925860;CERTIFIED-WITHDRAWN;11/3/2010;11/9/2010;H-1B;12/1/2010;12/1/2013;DASSAULT SYSTEMES SERVICES, LLC;10715 DAVID TAYLOR DRIVE, SUITE 450;CHARLOTTE;NC;28262;15-1032.00;Computer Software Engineers, Systems Software;DEVELOPMENT ARCHITECT;94000;;Year;Y;1;GREENSBORO;NC;89003;Year;Other;OFLC ONLINE DATA CENTER;2010;;;;;;;;541600
I-200-09334-035733;CERTIFIED;10/7/2010;10/14/2010;H-1B;10/18/2010;10/17/2013;CHARTIS PROPERTY CASUALTY COMPANY;180 MAIDEN LANE;NEW YORK;NY;10038;15-1071.00;Network and Computer Systems Administrators;SYSTEMS ADMINISTRATOR LEAD;105270;;Year;Y;1;BERKELEY HEIGHTS;NJ;79602;Year;OES;OFLC ONLINE DATA CENTER;2010;CHARLOTTE;NC;72592;Year;OES;OFLC ONLINE DATA CENTER;2010;524113
I-200-09334-318485;WITHDRAWN;7/11/2011;7/15/2011;H-1B;7/20/2011;9/30/2011;KEYSTONE RURAL HEALTH CENTER;755 NORLAND AVENUE, SUITE #200;CHAMBERSBURG;PA;17201;29-1066;Psychiatrists;CHILD AND ADOLESCENT PSYCHIATRIST;91.35;105.77;Hour;N;1;CHAMBERSBURG;PA;38.15;Hour;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;621498
I-200-09334-383887;CERTIFIED;6/16/2011;6/22/2011;H-1B;10/11/2011;10/10/2014;MULTIVISION INC;1220 IROQUOIS AVENUE SUITE 210;NAPERVILLE;IL;60563;15-1021.00;Computer Programmers;PROGRAMMER ANALYST LEVEL 2;84000;;Year;Y;1;WESTMONT;IL;63586;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;541511
I-200-09334-922115;CERTIFIED;3/29/2011;4/4/2011;H-1B;9/14/2011;9/13/2014;PARADIGM GEOPHYSICAL CORPORATION;820 GESSNER, SUITE 400;HOUSTON;TX;77024;15-1031.00;Computer Software Engineers, Applications;SOFTWARE APPLICATIONS SUPPORT III - FORMATION EVAL;77480;78750;Year;Y;1;HOUSTON;TX;77480;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;511210
I-200-09334-219404;CERTIFIED;11/8/2010;11/15/2010;H-1B;2/14/2011;2/13/2014;OYO GEOSPACE CORPORATION;7007 PINEMONT;HOUSTON;TX;77040;19-2032.00;Materials Scientists;DEVELOPMENT ENGINEER;54538;65000;Year;Y;1;HOUSTON;TX;54538;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;333132
I-200-09334-266704;CERTIFIED;12/23/2010;12/30/2010;H-1B;1/15/2011;1/14/2014;OMSHEEL, LLC;2 TURF LANE;NEWARK;DE;19713;15-1051.00;Computer Systems Analysts;SENIOR PROGRAMMER ANALYST;82576;;Year;Y;1;CARSON CITY;NV;82576;Year;Other;OFLC ONLINE DATA CENTER;2010;;;;;;;;56149
I-200-09335-466920;CERTIFIED;10/18/2010;10/22/2010;H-1B;10/30/2010;10/29/2013;UN PAJARITO ME DIJO LLC.;420 LINCOLN ROAD, SUITE 375;MIAMI BEACH;FL;33139;27-1024.00;Graphic Designers;GRAPHIC DESIGNER;33000;;Year;Y;1;MIAMI BEACH;FL;31866;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;54143
I-200-09335-207056;CERTIFIED;9/22/2011;9/28/2011;H-1B;1/27/2012;1/26/2015;MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY;1295 STATE STREET;SPRINGFIELD;MA;01111;15-1121;Computer Systems Analysts;BUSINESS SYSTEMS ANALYST;61100;;Year;Y;1;SPRINGFIELD;MA;58094;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;524113
I-200-09335-063659;CERTIFIED;5/23/2011;5/27/2011;H-1B;7/28/2011;7/27/2014;BAYSTATE MEDICAL PRACTICES, INC.;759 CHESTNUT STREET;SPRINGFIELD;MA;01199;29-1063.00;Internists, General;HOSPITALIST;177000;;Year;Y;1;SPRINGFIELD;MA;95576;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;621111
I-200-09335-261478;CERTIFIED;3/23/2011;3/29/2011;H-1B;9/20/2011;9/20/2014;WEATHERFORD INTERNATIONAL INC.;515 POST OAK BLVD;HOUSTON;TX;77027;15-2021.00;Mathematicians;COMMERCIAL COORDINATOR;41350;59920;Year;Y;1;HOUSTON;TX;41350;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;333132
I-200-09335-862839;CERTIFIED;6/6/2011;6/10/2011;H-1B;10/1/2011;9/30/2014;NEW YORK CITY DEPARTMENT OF EDUCATION;65 COURT STREET;BROOKLYN;NY;11201;25-2021.00;Elementary School Teachers, Except Special Educati;CHILDHOOD EDUCATION TEACHER;45530;;Year;Y;53;BROOKLYN;NY;45530;Year;CBA;;2008;;;;;;;;611110
I-200-09335-026434;CERTIFIED;3/16/2011;3/22/2011;H-1B;3/16/2011;3/15/2014;ASTYRA CORPORATION;116 E. FRANKLIN STREET;RICHMOND;VA;23219;15-1051.00;Computer Systems Analysts;PROGRAMMER ANALYST;48;;Hour;Y;1;CLARKSBURG;WV;36.34;Hour;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09335-960894;CERTIFIED;6/16/2011;6/22/2011;H-1B;7/1/2011;6/30/2012;MULTIVISION INC;1220 IROQUOIS AVENUE SUITE 210;NAPERVILLE;IL;60563;15-1021.00;Computer Programmers;PROGRAMMER ANALYST LEVEL 2;72000;;Year;Y;1;WEST DESMOINES;IA;60986;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;541511
I-200-09335-671619;CERTIFIED;3/25/2011;3/31/2011;H-1B;9/24/2011;9/23/2014;HUMEDICA, INC.;1380 SOLDIERS FIELD ROAD;BOSTON;MA;02135;11-2031.00;Public Relations Managers;PUBLIC RELATIONS AND MARKETING MANAGER;80000;80000;Year;Y;1;BOSTON;MA;72592;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;541519
I-200-09336-210730;CERTIFIED;2/14/2011;2/18/2011;H-1B;6/22/2011;6/21/2014;MILLENNIUMSOFT, INC.;8301 ARLINGTON BOULEVARD;FAIRFAX;VA;22031;15-1051.00;Computer Systems Analysts;COMPUTER SYSTEMS ANALYST;63814;;Year;Y;1;COLORADO SPRINGS;CO;63814;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09336-481442;CERTIFIED;3/23/2011;3/29/2011;H-1B;9/22/2011;9/21/2014;SBM ATLANTIA, INC.;1255 ENCLAVE PARKWAY, SUITE 400;HOUSTON;TX;77077;17-2041.00;Chemical Engineers;SENIOR PROCESS ENGINEER;101275;115000;Year;Y;1;HOUSTON;TX;101275;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;336611
I-200-09190-313338;CERTIFIED;3/29/2011;4/4/2011;H-1B;9/28/2011;9/28/2014;AWARE, INC.;40 MIDDLESEX TURNPIKE;BEDFORD;MA;01730-1432;15-1031.00;Computer Software Engineers, Applications;DSP ENGINEER;89000;105000;Year;Y;1;BEDFORD;MA;88650;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;335999
I-200-09190-166533;CERTIFIED;6/17/2011;6/23/2011;H-1B;6/18/2011;6/17/2014;SEMAFOR TECHNOLOGIES, LLC;SIX CONCOURSE PARKWAY, FIFTH FLOOR;ATLANTA;GA;30328;15-1021.00;Computer Programmers;SYSTEMS PROGRAMMER;51000;81000;Year;Y;1;DULUTH;GA;50440;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09190-459489;CERTIFIED;12/22/2010;12/29/2010;H-1B;1/17/2011;1/16/2014;MUSEUM ASSOCIATES;5905 WILSHIRE BOULEVARD;LOS ANGELES;CA;90036;25-4012.00;Curators;ASSISTANT CURATOR;58000;;Year;Y;1;LOS ANGELES;CA;47986;Year;Other;OFLC ONLINE DATA CENTER;2010;;;;;;;;712110
I-200-09190-648980;CERTIFIED;2/14/2011;2/18/2011;H-1B;2/14/2011;2/1/2014;DISCOVER PRODUCTS INC.;2500 LAKE COOK ROAD;RIVERWOODS;IL;60015;13-2051.00;Financial Analysts;PROJECT MANAGER, RISK MANAGEMENT;66700;86918.83;Year;Y;1;RIVERWOODS;IL;66700;Year;Other;TOWERS WATSON DATA SERVICES SURVEY REPORT ON ACCOUNTING & FINANCE PERSONNEL;2010;;;;;;;;522210
I-200-09190-460161;CERTIFIED;1/6/2011;1/12/2011;H-1B;2/1/2011;1/31/2014;FEDEX CORPORATE SERVICES, INC.;1715 AARON BRENNER DRIVE;MEMPHIS;TN;38120;19-3011.00;Economists;SENIOR STRATEGIC SALES ANALYST;66352;111576;Year;Y;1;MEMPHIS;TN;66352;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;481112
I-200-09191-950531;CERTIFIED;1/5/2011;1/11/2011;H-1B;2/1/2011;1/31/2014;PELICAN EDUCATION FOUNDATION, INC.;7600 BOONE AVENUE;BATON ROUGE;LA;70808;13-2011.01;Accountants;BUDGET ACCOUNTANT;37500;;Year;Y;1;NEW ORLEANS;LA;37482;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;611110
I-200-09191-582579;CERTIFIED;5/2/2011;5/6/2011;H-1B;5/2/2011;5/2/2014;ALERIS ROLLED PRODUCTS, INC.;25825 SCIENCE PARK DRIVE, SUITE 400;BEACHWOOD;OH;44122-7392;17-2112.00;Industrial Engineers;SENIOR INDUSTRIAL ENGINEER;74298;;Year;Y;1;LEWISPORT;KY;74298;Year;OES;APWD, INC.: OFLC ONLINE DATA CENTER;2011;;;;;;;;331316
I-200-09191-307947;CERTIFIED;11/30/2010;12/6/2010;H-1B;5/1/2011;4/30/2014;BORGWARNER THERMAL SYSTEMS OF MICHIGAN INC.;3800 AUTOMATION AVENUE;AUBURN HILLS;MI;48326;17-2141.00;Mechanical Engineers;SENIOR ENGINEER;75899;77000;Year;Y;1;MARSHALL;MI;75899;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;3363
I-200-09191-543320;CERTIFIED;12/3/2010;12/9/2010;H-1B;1/10/2011;1/9/2014;CHRYSLER GROUP LLC;1000 CHRYSLER DRIVE;AUBURN HILLS;MI;48326;13-1199.99;Business Operations Specialists, All Other;DISTRICT OPERATIONS SPECIALIST;60000;;Year;Y;1;AUBURN HILLS;MI;45136;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;3361
I-200-09191-218985;CERTIFIED;11/8/2010;11/15/2010;H-1B;11/22/2010;11/22/2013;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO., INC.;200 VESEY STREET;NEW YORK;NY;10285;15-2031.00;Operations Research Analysts;ANALYST, RISK MANAGEMENT;52000;;Year;Y;1;PHOENIX;AZ;41413;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;522210
I-200-09191-776967;CERTIFIED;1/25/2011;1/31/2011;H-1B;7/24/2011;7/24/2014;APAX PARTNERS LP;601 LEXINGTON AVENUE;NEW YORK;NY;10022;13-2051.00;Financial Analysts;SENIOR ASSOCIATE;150000;;Year;Y;1;NEW YORK;NY;86965;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;523910
I-203-09191-905083;CERTIFIED;12/21/2010;12/28/2010;E-3 Australian;1/1/2011;12/31/2012;ARUBA NETWORKS, INC.;1322 CROSSMAN AVENUE;SUNNYVALE;CA;94089;15-1051.00;Computer Systems Analysts;SENIOR INTEGRATION MANAGER;75629;175000;Year;Y;1;SUNNYVALE;CA;75629;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541512
I-203-09194-868817;CERTIFIED;12/21/2010;12/28/2010;E-3 Australian;1/1/2011;12/31/2012;ARUBA NETWORKS, INC.;1322 CROSSMAN AVENUE;SUNNYVALE;CA;94089;11-2021.00;Marketing Managers;SENIOR TECHNICAL MARKETING ENGINEER;125798;175000;Year;Y;1;SUNNYVALE;CA;125798;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541512
I-200-09194-460313;CERTIFIED;11/24/2010;12/1/2010;H-1B;12/13/2010;12/12/2013;LEVEL STUDIOS INC.;2101 ROSECRANS AVENUE;EL SEGUNDO;CA;90245;15-1031.00;Computer Software Engineers, Applications;SENIOR ENGINEER;98530;131518;Year;Y;1;SAN JOSE;CA;98530;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541810
I-200-09194-563612;CERTIFIED;4/25/2011;4/29/2011;H-1B;8/9/2011;8/8/2014;NATIONAL FINANCIAL LLC;ONE SPARTAN WAY;MERRIMACK;NH;03054;15-1031.00;Computer Software Engineers, Applications;SENIOR SYSTEMS ENGINEER;78728;93766;Year;Y;1;MERRIMACK;NH;78728;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;523999
I-200-09194-200588;CERTIFIED;10/6/2010;10/13/2010;H-1B;1/9/2011;1/9/2014;AVM, L.P.;777 YAMATO ROAD;BOCA RATON;FL;33431;15-2031.00;Operations Research Analysts;OPERATIONS SPECIALIST;60000;;Year;Y;1;BOCA RATON;FL;42203;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;523110
I-200-09194-413021;CERTIFIED;2/15/2011;2/22/2011;H-1B;2/16/2011;2/15/2014;ATHEROS COMMUNICATIONS, INC.;1700 TECHNOLOGY DRIVE;SAN JOSE;CA;95110;15-1032.00;Computer Software Engineers, Systems Software;SR. SOFTWARE ENGINEER;140000;;Year;Y;1;SAN JOSE;CA;124363;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;334413
I-200-09195-059765;WITHDRAWN;8/3/2011;8/3/2011;H-1B;8/10/2011;8/9/2014;HITACHI CONSULTING SOFTWARE SERVICES;7979 GATEWAY BOULEVARD;NEWARK;CA;94560;15-1142;Network and Computer Systems Administrators*;ADMINISTRATOR;75000;;Year;Y;1;SUNNYVALE;CA;68973;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;541511
I-200-09195-419731;CERTIFIED;8/18/2011;8/24/2011;H-1B;10/8/2011;10/7/2014;QUALCOMM ATHEROS, INC.;1700 TECHNOLOGY DRIVE;SAN JOSE;CA;95110;17-2071;Electrical Engineers;APPLICATIONS ENGINEER;59508;;Year;Y;1;OCALA;FL;59508;Year;Other;RADFORD GLOBAL TECHNOLOGY SURVEY;2011;;;;;;;;334413
I-200-09196-995846;DENIED;12/28/2010;1/3/2011;H-1B;1/15/2011;1/14/2014;SARVIN;11543 NUCKOLS ROAD;GLEN ALLEN;VA;23059;15-1051.00;Computer Systems Analysts;SYSTEMS ANALYST;50000;;Year;Y;1;GLEN ALLEN;VA;48547;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09196-515295;CERTIFIED;6/6/2011;6/10/2011;H-1B;10/1/2011;9/30/2014;NEW YORK CITY DEPARTMENT OF EDUCATION;65 COURT STREET;BROOKLYN;NY;11201;25-2022.00;Middle School Teachers, Except Special and Vocatio;SCIENCE TEACHER;45530;;Year;Y;53;BROOKLYN;NY;45530;Year;CBA;;2008;;;;;;;;611110
I-200-09187-289834;WITHDRAWN;4/22/2011;4/22/2011;H-1B;5/1/2011;9/30/2012;VERITAS ECONMIC CONSULTING, LLC.;1851 EVANS ROAD;CARY;NC;27513;19-4061.00;Social Science Research Assistants;RESEARCH ASSOCIATE;22;;Hour;Y;1;CARY;NC;15.1;Hour;OES;OFLC DATACENTER ONLINE WAGE LIBRARY;2010;NEW HAVEN;CT;14.74;Hour;OES;OFLC DATACENTER ONLINE WAGE LIBRARY;2010;54169
I-200-09187-211873;CERTIFIED;2/3/2011;2/9/2011;H-1B;2/10/2011;2/9/2014;HANUSOFT INC.;7206 IMPALA DRIVE;RICHMOND;VA;23228;15-1021.00;Computer Programmers;DATA ANALYST/PROGRAMMER ANALYST;60000;100000;Year;Y;1;PLANO;TX;52395;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541511
I-200-09187-038060;CERTIFIED;8/9/2011;8/15/2011;H-1B;8/29/2011;8/28/2014;SUNGARD AVAILABILITY SERVICES;680 E. SWEDESFORD ROAD;WAYNE;PA;19087;15-1121;Computer Systems Analysts;SOFTWARE ENGINEER II;80000;;Year;Y;1;WAYNE;PA;73154;Year;Other;OFLC ONLINE DATA CENTER;2011;;;;;;;;541511
I-200-09188-140391;WITHDRAWN;11/5/2010;11/5/2010;H-1B;11/8/2010;10/1/2012;B. NEVINS, LTD.;14006 NEWBERG RD.;CAT SPRING;TX;78933-;11-3021.00;Computer and Information Systems Managers;VICE PRESIDENT OF E-BUSINESS;120000;;Year;Y;1;HOUSTON;TX;118394;Year;OES;N/A;2008;;;;;;;;337211
I-200-09188-366185;CERTIFIED;3/1/2011;3/7/2011;H-1B;3/10/2011;3/10/2014;WEATHERFORD INTERNATIONAL INC.;515 POST OAK BLVD., SUITE 175;HOUSTON;TX;77027;11-3042.00;Training and Development Managers;DIRECTOR OF ORGANIZATIONAL DEVELOPMENT & HR;111654;180000;Year;Y;1;HOUSTON;TX;111654;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;333132
I-200-09210-873521;CERTIFIED;6/6/2011;6/10/2011;H-1B;10/1/2011;9/30/2014;NEW YORK CITY DEPARTMENT OF EDUCATION;65 COURT STREET;BROOKLYN;NY;11201;25-2031.00;Secondary School Teachers, Except Special and Voca;SCIENCE TEACHER;45530;;Year;Y;53;BROOKLYN;NY;45530;Year;CBA;;2008;;;;;;;;611110
I-200-09210-508546;CERTIFIED;3/1/2011;3/7/2011;H-1B;8/9/2011;8/8/2014;CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA;3801 WEST TEMPLE AVENUE;POMONA;CA;91768;25-9031.00;Instructional Coordinators;INSTRUCTIONAL DESIGNER;51000;;Year;Y;1;POMONA;CA;48298;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;611310
I-200-09210-888618;CERTIFIED;9/21/2011;9/27/2011;H-1B;2/1/2012;1/31/2015;FLEXERA SOFTWARE INC.;1000 WOODFIELD ROAD;SCHAUMBURG;IL;60173;15-1132;Software Developers, Applications;SOFTWARE ENGINEER;108900;;Year;Y;1;SAN JOSE;CA;101888;Year;Other;RADFORD GLOBAL TECHNOLOGY SURVEY;2011;;;;;;;;541512
I-200-09210-219143;CERTIFIED-WITHDRAWN;7/13/2011;7/19/2011;H-1B;10/5/2011;10/4/2014;THE DOW CHEMICAL COMPANY;EMPLOYEE DEVELOPMENT CENTER;MIDLAND;MI;48674;19-2031;Chemists;CHEMISTRY SPECIALIST R&D;85488;128232;Year;Y;1;MIDLAND;MI;64314;Year;OES;OES ONLINE WAGE LIBRARY;2011;;;;;;;;541710
I-200-09211-803914;CERTIFIED;1/5/2011;1/11/2011;H-1B;1/15/2011;1/15/2014;TYLER INDEPENDENT SCHOOL DISTRICT;1319 NEW SUNNYBROOK DR.;TYLER;TX;75701;25-2021.00;Elementary School Teachers, Except Special Educati;ELEMENTARY SCHOOL TEACHER;40000;61908;Year;Y;25;TYLER;TX;35530;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;611110
I-200-09212-719844;CERTIFIED;12/9/2010;12/15/2010;H-1B;12/15/2010;12/15/2013;NIKE, INC.;ONE BOWERMAN DRIVE;BEAVERTON;OR;97005;15-1031.00;Computer Software Engineers, Applications;LEAD SAP APPLICATION ENGINEER;100000;;Year;Y;1;BEAVERTON;OR;81709;Year;Other;PORTLAND-VANCOUVER-HILLSBORO, OR-WA, NATIONAL COMPENSATION SURVEY, SEPTEMBER 2009;2010;;;;;;;;316219
I-200-09212-000457;CERTIFIED;1/25/2011;1/31/2011;H-1B;2/15/2011;2/15/2014;GSI GROUP LLC;1004 EAST ILLINOIS STREET;ASSUMPTION;IL;62510;15-1031.00;Computer Software Engineers, Applications;SAP FICO SPECIALIST;75000;90000;Year;Y;1;ASSUMPTION;IL;73237;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;333111
I-200-09212-450904;CERTIFIED;4/1/2011;4/7/2011;H-1B;9/19/2011;9/18/2014;SELECT AIRCARGO SERVICES, INC;12801 S. FIGUEROA STREET;LOS ANGELES;CA;90061;19-3021.00;Market Research Analysts;MARKET RESEARCH ANALYST;38064;;Year;Y;1;LOS ANGELES;CA;38064;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;541614
I-200-09216-918660;CERTIFIED;2/2/2011;2/8/2011;H-1B;5/26/2011;5/25/2014;EMULEX DESIGN AND MANUFACTURING CORP;3333 SUSAN STREET;COSTA MESA;CA;92626;15-1032.00;Computer Software Engineers, Systems Software;PRINCIPAL ENGINEER;114000;155000;Year;Y;1;SAN JOSE;CA;92729;Year;Other;EMPLOYERS GROUP: ENGINEERING COMPENSATION SURVEY;2010;;;;;;;;541511
I-200-09216-427167;CERTIFIED;10/8/2010;10/15/2010;H-1B;2/25/2011;2/24/2014;WESTERN DIGITAL TECHNOLOGIES, INC.;20511 LAKE FOREST DRIVE;LAKE FOREST;CA;92630;15-1031.00;Computer Software Engineers, Applications;PROGRAMMER ANALYST/SENIOR SPECIALIST;94224;113948;Year;Y;1;LAKE FOREST;CA;94224;Year;OES;OFLC ONLINE DATA CENTER;2010;;;;;;;;334000
I-200-09216-383266;CERTIFIED;5/10/2011;5/16/2011;H-1B;10/1/2011;10/1/2014;MCAFEE, INC.;2430 ENERGY PARK DRIVE;ST. PAUL;MN;55108;15-1031.00;Computer Software Engineers, Applications;SOFTWARE DEVELOPMENT ENGINEER;78500;80000;Year;Y;1;MCLEAN;VA;78500;Year;Other;TOWERS WATSON DATA SERVICES: PROFESSIONAL SPECIALIZED SERVICES PERSONNEL;2011;;;;;;;;5415
I-200-09217-992952;CERTIFIED;8/9/2011;8/15/2011;H-1B;10/13/2011;10/12/2014;ABERCROMBIE & FITCH TRADING CO.;6301 FITCH PATH;NEW ALBANY;OH;43054;27-1022;Fashion Designers;CAD DESIGNER;80000;;Year;Y;1;NEW ALBANY;OH;79560;Year;OES;OFLC ONLINE DATA CENTER;2011;;;;;;;;448000
